Year,State,Incident Type,Month,Count of Incidents,Total Obligated
2019,Kansas,Severe Storm(s),Feb,1,$2350744.05
2019,Kansas,Severe Storm(s),Jun,1,$1417750.99
2019,Kentucky,Severe Storm(s),Apr,1,$66106498.74
2019,Louisiana,Flood,Sep,1,$5596700.78
2019,Louisiana,Hurricane,Aug,1,$14709698.73
2019,Louisiana,Severe Storm(s),Jun,1,$4039780.21
2019,Minnesota,Flood,Feb,1,$556912.13
2019,Minnesota,Flood,Jun,1,$11530709.54
2019,Mississippi,Severe Storm(s),Apr,1,$17514297.58
2019,Mississippi,Severe Storm(s),Dec,1,$538451.35
2019,Mississippi,Severe Storm(s),Feb,1,$4942313.66
2019,Mississippi,Severe Storm(s),Jun,1,$4811312.42
2019,Missouri,Flood,May,1,$13135520.99
2019,Missouri,Severe Storm(s),Jul,1,$13622092.99
2019,Montana,Flood,May,1,$1098540.70
2019,Nebraska,Flood,Jun,1,$995060.85
2019,Nebraska,Flood,Mar,1,$42796266.84
2019,New Hampshire,Severe Storm(s),Aug,1,$241023.70
2019,North Carolina,Hurricane,Jan,1,$15240653.67
2019,North Carolina,Hurricane,Oct,1,$6573184.31
2019,North Dakota,Flood,Jun,1,$5906809.20
2019,Ohio,Flood,Apr,1,$9977230.39
2019,Ohio,Tornado,Jun,1,$3214010.35
2019,Oklahoma,Severe Storm(s),Jul,1,$1207568.21
2019,Oklahoma,Severe Storm(s),Jun,1,$13593007.36
2019,Oregon,Flood,Jul,1,$614555.07
2019,Oregon,Severe Storm(s),May,1,$16051485.50
2019,South Carolina,Hurricane,Sep,1,$6446792.91
2019,South Dakota,Flood,Jun,1,$8080810.76
2019,South Dakota,Flood,Sep,1,$105257.80
2019,South Dakota,Severe Storm(s),Jun,1,$484081.83
2019,South Dakota,Severe Storm(s),Oct,1,$379582.36
2019,Tennessee,Flood,Apr,1,$8699755.62
2019,Tennessee,Severe Storm(s),Dec,1,$795476.61
2019,Texas,Flood,Feb,1,$46155531.22
2019,Vermont,Flood,Jun,1,$941649.98
2019,Washington,Severe Storm(s),Mar,1,$8234994.05
2019,West Virginia,Flood,Aug,1,$2699880.27
2019,Wisconsin,Flood,Aug,1,$4568654.97
